NAME;ADDRESSING MODE;FUNCTION;CYCLES
ADD_EAX;IMM;ADD_A;1
ADD_EAX;ABS;ADD_A;1
ADD_EAX;REG;ADD_A;1
ADD_EAX;REG IND;ADD_A;1
ADD_EBX;IMM;ADD_B;1
ADD_EBX;ABS;ADD_B;1
ADD_EBX;REG;ADD_B;1
ADD_EBX;REG IND;ADD_B;1
ADD_ECX;IMM;ADD_C;1
ADD_ECX;ABS;ADD_C;1
ADD_ECX;REG;ADD_C;1
ADD_ECX;REG IND;ADD_C;1
ADD_EDX;IMM;ADD_D;1
ADD_EDX;ABS;ADD_D;1
ADD_EDX;REG;ADD_D;1
ADD_EDX;REG IND;ADD_D;1
ADC_EAX;IMM;ADC_A;2
ADC_EAX;ABS;ADC_A;2
ADC_EAX;REG;ADC_A;2
ADC_EAX;REG IND;ADC_A;2
ADC_EBX;IMM;ADC_B;2
ADC_EBX;ABS;ADC_B;2
ADC_EBX;REG;ADC_B;2
ADC_EBX;REG IND;ADC_B;2
ADC_ECX;IMM;ADC_C;2
ADC_ECX;ABS;ADC_C;2
ADC_ECX;REG;ADC_C;2
ADC_ECX;REG IND;ADC_C;2
ADC_EDX;IMM;ADC_D;2
ADC_EDX;ABS;ADC_D;2
ADC_EDX;REG;ADC_D;2
ADC_EDX;REG IND;ADC_D;2
AND_EAX;IMM;AND_A;1
AND_EAX;REG;AND_A;1
AND_EBX;IMM;AND_B;1
AND_EBX;REG;AND_B;1
AND_ECX;IMM;AND_C;1
AND_ECX;REG;AND_C;1
AND_EDX;IMM;AND_D;1
AND_EDX;REG;AND_D;1
CALL;IMM;CALL;3
CLC;IMP;CLC;1
CLI;IMP;CLI;1
CMP_EAX;IMM;CMP_A;1
CMP_EAX;REG;CMP_A;1
CMP_EBX;IMM;CMP_B;1
CMP_EBX;REG;CMP_B;1
CMP_ECX;IMM;CMP_C;1
CMP_ECX;REG;CMP_C;1
CMP_EDX;IMM;CMP_D;1
CMP_EDX;REG;CMP_D;1
DEC;REG;DEC;1
INC;REG;INC;1
DIV_EAX;IMM;DIV_A;49
DIV_EAX;ABS;DIV_A;50
DIV_EAX;REG;DIV_A;49
DIV_EAX;REG IND;DIV_A;49
DIV_EBX;IMM;DIV_B;49
DIV_EBX;ABS;DIV_B;50
DIV_EBX;REG;DIV_B;49
DIV_EBX;REG IND;DIV_B;49
DIV_ECX;IMM;DIV_C;49
DIV_ECX;ABS;DIV_C;50
DIV_ECX;REG;DIV_C;49
DIV_ECX;REG IND;DIV_C;49
DIV_EDX;IMM;DIV_D;49
DIV_EDX;ABS;DIV_D;50
DIV_EDX;REG;DIV_D;49
DIV_EDX;REG IND;DIV_D;49
IDIV_EAX;IMM;IDIV_A;61
IDIV_EAX;ABS;IDIV_A;62
IDIV_EAX;REG;IDIV_A;61
IDIV_EAX;REG IND;IDIV_A;61
IDIV_EBX;IMM;IDIV_B;61
IDIV_EBX;ABS;IDIV_B;62
IDIV_EBX;REG;IDIV_B;61
IDIV_EBX;REG IND;IDIV_B;61
IDIV_ECX;IMM;IDIV_C;61
IDIV_ECX;ABS;IDIV_C;62
IDIV_ECX;REG;IDIV_C;61
IDIV_ECX;REG IND;IDIV_C;61
IDIV_EDX;IMM;IDIV_D;61
IDIV_EDX;ABS;IDIV_D;62
IDIV_EDX;REG;IDIV_D;61
IDIV_EDX;REG IND;IDIV_D;61
HLT;IMP;HLT;1
MUL_EAX;IMM;MUL_A;2
MUL_EAX;ABS;MUL_A;3
MUL_EAX;REG;MUL_A;2
MUL_EAX;REG IND;MUL_A;2
MUL_EBX;IMM;MUL_B;2
MUL_EBX;ABS;MUL_B;3
MUL_EBX;REG;MUL_B;2
MUL_EBX;REG IND;MUL_B;2
MUL_ECX;IMM;MUL_C;2
MUL_ECX;ABS;MUL_C;3
MUL_ECX;REG;MUL_C;2
MUL_ECX;REG IND;MUL_C;2
MUL_EDX;IMM;MUL_D;2
MUL_EDX;ABS;MUL_D;3
MUL_EDX;REG;MUL_D;2
MUL_EDX;REG IND;MUL_D;2
IMUL_EAX;IMM;IMUL_A;2
IMUL_EAX;ABS;IMUL_A;3
IMUL_EAX;REG;IMUL_A;2
IMUL_EAX;REG IND;IMUL_A;2
IMUL_EBX;IMM;IMUL_B;2
IMUL_EBX;ABS;IMUL_B;3
IMUL_EBX;REG;IMUL_B;2
IMUL_EBX;REG IND;MIUL_B;2
IMUL_ECX;IMM;IMUL_C;2
IMUL_ECX;ABS;IMUL_C;3
IMUL_ECX;REG;IMUL_C;2
IMUL_ECX;REG IND;IMUL_C;2
IMUL_EDX;IMM;IMUL_D;2
IMUL_EDX;ABS;IMUL_D;3
IMUL_EDX;REG;IMUL_D;2
IMUL_EDX;REG IND;IMUL_D;2
JMP;IMM;JMP;10
JE;IMM;JE;10
JNE;IMM;JNE;10
JA;IMM;JA;10
JB;IMM;JB;10
JAE;IMM;JAE;10
JBE;IMM;JBE;10
